id,origem,destino,km,veiculo,base,total_pix,total_cartao,comissao_pegue,valor_prestador,rs_por_km
88,Osasco,Santos,85,utilitario,425,425,446,51,374,5.00
89,Osasco,Santos,85,hr,723,723,759,87,636,8.51
90,Osasco,Santos,85,caminhao_bau,935,935,982,112,823,11.00
91,Osasco,Campinas,95,utilitario,440,440,462,53,387,4.63
92,Osasco,Campinas,95,hr,748,748,785,90,658,7.87
93,Osasco,Campinas,95,caminhao_bau,968,968,1016,116,852,10.19
94,Osasco,Sorocaba,100,utilitario,448,448,470,54,394,4.48
95,Osasco,Sorocaba,100,hr,762,762,800,91,671,7.62
96,Osasco,Sorocaba,100,caminhao_bau,986,986,1035,118,868,9.86
97,Osasco,Sao Jose dos Campos,110,utilitario,463,463,486,56,407,4.21
98,Osasco,Sao Jose dos Campos,110,hr,787,787,826,94,693,7.15
99,Osasco,Sao Jose dos Campos,110,caminhao_bau,1019,1019,1070,122,897,9.26
100,Osasco,Sao Paulo (longe),150,utilitario,515,515,541,62,453,3.43
101,Osasco,Sao Paulo (longe),150,hr,876,876,920,105,771,5.84
102,Osasco,Sao Paulo (longe),150,caminhao_bau,1133,1133,1189,136,997,7.55
103,Osasco,Litoral Norte,200,utilitario,572,572,600,69,503,2.86
104,Osasco,Litoral Norte,200,hr,972,972,1020,117,855,4.86
105,Osasco,Litoral Norte,200,caminhao_bau,1258,1258,1321,151,1107,6.29
