id,origem,destino,km,veiculo,base,total_pix,total_cartao,comissao_pegue,valor_prestador,rs_por_km
84,Osasco,Atibaia,75,caminhao_bau,898,898,943,108,790,11.97
85,Osasco,Itu,90,utilitario,433,433,455,52,381,4.81
86,Osasco,Itu,90,hr,736,736,773,88,648,8.18
87,Osasco,Itu,90,caminhao_bau,953,953,1000,114,839,10.59
88,Osasco,Praia Grande,95,utilitario,440,440,462,53,387,4.63
89,Osasco,Praia Grande,95,hr,748,748,785,90,658,7.87
90,Osasco,Praia Grande,95,caminhao_bau,968,968,1016,116,852,10.19
91,Osasco,Sao Vicente,88,utilitario,429,429,450,51,378,4.88
92,Osasco,Sao Vicente,88,hr,729,729,765,87,642,8.28
93,Osasco,Sao Vicente,88,caminhao_bau,944,944,991,113,831,10.73
94,Osasco,Bertioga,120,utilitario,477,477,501,57,420,3.98
95,Osasco,Bertioga,120,hr,811,811,851,97,714,6.76
96,Osasco,Bertioga,120,caminhao_bau,1049,1049,1101,126,923,8.74
97,Osasco,Registro,180,utilitario,550,550,577,66,484,3.06
98,Osasco,Registro,180,hr,935,935,982,112,823,5.19
99,Osasco,Registro,180,caminhao_bau,1210,1210,1270,145,1065,6.72
100,Osasco,Piracicaba,160,utilitario,527,527,553,63,464,3.29
101,Osasco,Piracicaba,160,hr,896,896,941,108,788,5.60
102,Osasco,Piracicaba,160,caminhao_bau,1159,1159,1217,139,1020,7.24
103,Osasco,Ubatuba,230,utilitario,603,603,633,72,531,2.62
104,Osasco,Ubatuba,230,hr,1025,1025,1076,123,902,4.46
105,Osasco,Ubatuba,230,caminhao_bau,1327,1327,1393,159,1168,5.77
